file_path,language,text,label,generator,source,compression_level
data/fake/tamil\fake_tam_0030.wav,Tamil,ஆனையை வித்துவானுக்கும் பூனையைக் குறவனுக்கும் கொடு.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0031.wav,Tamil,"இதில் ஒரு வேடிக்கை என்னவென்றால், அத்தினம்தான் அவர் பிறந்த தினம்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0032.wav,Tamil,அடடே அப்படியா சங்கதி.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0033.wav,Tamil,"இரண்டொருவரால் அல்ல, பல்லாயிரவரால்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0034.wav,Tamil,இவை வெளி நாட்டின் வாழ்வியல் தாக்கம் அதே சாதியில் அங்கே எப்படிப் பெண்களைத் தேடமுடியும்?,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0035.wav,Tamil,கிரெளன் கண்ணாடி பனிக்கட்டி வைரம்,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0036.wav,Tamil,"அதாவது, கணக்கு, அறிவியல், வரலாறு, நில நூல் முதலிய எல்லாப் பாடங்களையும் மொழியின் வாயிலாகவே கற்பிக்கிறோம்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0037.wav,Tamil,"அமுத வல்லிஎன் ஆசைக் கொருபெண்!		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291577.mp3	b7e60aa5d710851648faba92b7c953bd8f2aa5e826192c31379997231ae80e03	இந்த மணிபுரிதான் இங்குள்ள மக்களுக்குச்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291576.mp3	ba4d293dbdb79944b8d6fc6aea578376eb670d54537f1b7e146e1001a32d2c16	அந்தமதி யற்றவனைக் கொல்வேன்என்றே		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291575.mp3	adbd5eb21e00d6a5d64fbf2c8a51e47b5c86dd5cbafc570478f56578976621b1	இச்சைகொண்டே பொருளெலாம் இழந்துவிட்ட போதிலும்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291574.mp3	9edd25c709dfe728019eeb6b6760350b9555ee84f51ef643a616c99ddba33836	இடதுபுறமாக செல்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291573.mp3	afda836da8e1ea0c57b8f28c4012b502e4cd1241cffb8cf4c813f8b9b4532724	தேமதுரத் தமிழோசை உலகமெலாம்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291562.mp3	bb02edb279065d869c52f392321d5fe310471c891794445b51a544a5e77eb771	தினம்நாங்கள் படும்பாட்டை யாரறியக் கூடும்?		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291561.mp3	7f60cb104751936740218773d4f5fbed35c3683bd067c8ca2e19d7664969d8cc	சீலத்தை இதுவென்று தெரிவிக்கும் நூலாம்;		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291560.mp3	c1ee4f5359bbb7fbf333e6223b846bfb5361459179ea0353d51edff76f9c1ffb	கீர்த்திசொல்லி அவன்நாமம் வாழ்த்த வேண்டும்!		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_20577024.mp3	3a452220434823652d63cad17b6df8834a9b2c9c48bad8d0a15bd47efa8a8b07	வஞ்சியைப் பார்த்தனன் மீண்டும்அவன் - ஆ!		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291559.mp3	c96a4048d954a7bb950d5f102b2269335aee65f7257176ccc1f92b6a28e75a35	நாட்டின் நிலைபேசிப் - பல		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291558.mp3	c58b9cfd714cb57617216bef459d2d0a9867f7d333ba5aad2ae201b756b8193c	இனிமைத் தமிழ்மொழி...		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291522.mp3	c825eed5e4c218227f60d408e55ecbf395601f8838818d5f4de98ec4c0986b10	மாநிலம் தந்ததில் வஞ்சமோ? - பசி		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291521.mp3	c42eb3920f48f7cb461a0ae000ccc0379d5c60af6484f35210eeba681628da26	திருடனா என்றான் சீனன். விளக்கை		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291520.mp3	be865f932049f361ba9de8bf57e690f475a0207c650b1ef5649548f762b8d94a	ளள் ளள் என்று வெள்ளை நாய், வீட்டின்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291519.mp3	bdee5290845768a09e97599952bb0e4fd7045d459c5cffe05159c06d9ce4214d	இருளகற்றி வழிகாட்டும் திருவிளக்கு!		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291518.mp3	61c411049d17adc701a52fb6a636043d34c746398fb60f4fd5fdc597fe2e728d	மறுபடி ஒருபிடி வாயில் வைக்குமுன்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291512.mp3	b7ad25ac3527f94efa7d7c6cf9b281bf254ffa4ef0c2c963cddc1fabfd83e59d	சாதல்எனில் இருவருமே சாதல் வேண்டும்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291511.mp3	c6b373375c1f6994ffb2de5eef9391ff1f79ba3e2c0d76f2fb875cbad5c37d97	வஞ்சனைகள் செய்வாரோடு இணங்க வேண்டாம்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291510.mp3	9ccc933a82f146e5487f85c5cf46f56db18da3282ca2c9e1f028f3725a7a9117	பள்ளிக் கல்வித்துறை, தமிழ்நாடு அரசு		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291509.mp3	8e536eeaae14fa31bc184565ce393a49d574b95315817f4ea7a0ff28c0827506	ஒன்றும் வராமேஉன் உத்தரவு போல்நடப்பேன்!		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_20864748.mp3	53ab5d99936af73fad39555e3c72e06ef25c8f23c522bc72638423eac71580b9	ஊக்கம் உடையான் ஒடுக்கம், பொருதகர் தாக்கதற்குப் பேருந்தகைத்து.		2	1	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291507.mp3	b8ee7b620d83554c3182563dfc7442bc3a6c66fccec89c78f3194d5a08df1201	என்றுரைத்தாள் வஞ்சி. இதுசொல்லித் தீருமுன்		2	0	twenties	male_masculine			ta	
866ca904291f8d25f1b04ff418ddb2a2d4cf1021eb0f39fe1c6c9845da3c1883b1243029686bbc72985a32548e3714d75eedfbebe3d4eb7d4e0fbd7a3b51e996	common_voice_ta_21291506.mp3	bb473b61dc3bd7f2195097f0440f0b461fa9a536a7b6419db6cc21da01701ae7	இருபதில் உலகையே என்னதென் பானாம்",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0038.wav,Tamil,இருந்த இடத்து வேலை என்றால் எங்கள் வீட்டுக்காரரையும் கூப்பிடுங்கள்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0039.wav,Tamil,வீடுமனும் கல்வி கேள்விகளிலும் நீதியிலும் தருமன் உயர்ந்தோன் என்று அவன் தகுதியைப் பாராட்டிப் பேசினான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0040.wav,Tamil,"காந்தியின் திட்டம், அதன் தத்துவம், ரெளலட் கொடுமைகள் என்பனவற்றைப் பற்றி மக்களிடம் விளக்கமாக எடுத்துரைத்தார் பாபு.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0041.wav,Tamil,"பாவம், பொழுது விடிந்ததிலிருந்து அவன் எவ்வளவு பாடுபட்டுவிட்டான்!",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0042.wav,Tamil,நாவை அறுத்துத் தொலைக்கு முன்னே! - இந்தப்,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0043.wav,Tamil,ஹியாவதா ஏரி ஏனைய பிற மினியாபோலிஸ் ஏரியை விட அதிகமான குப்பைகளைக் கொண்டுள்ளது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0044.wav,Tamil,"இந்த வல்லமை நிறைந்த விளையாட்டுப் போட்டியில், ஆளுடன் ஆள் மோதுவது, அலையுடன் அலை மோதி அடங்குவதுபோல்தான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0045.wav,Tamil,"ஒரு பழுப்பு நிற கூந்தழுடைய அழகி, சிவப்பு குடையுடன் படம் எடுக்கிறாள்",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0046.wav,Tamil,திரும்பவும் தீர்ப்பு நாள் வரும்போது அவரிடம் இந்த ஆத்மா போய்ச்சேர வேண்டியதுதான் என்று அந்த முல்லா கூறினார்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0047.wav,Tamil,இடறிற்றுக் கால்! இரும்இரும் மச்சான்,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0048.wav,Tamil,"ம், ம், சொல்லு, சட்டென்று சொல்லு என்று இன்னும் இரண்டு குத்துவிட்டான் போலீஸ் வீரன்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0049.wav,Tamil,கூத்தப்பள்ளியில் நள்ளிரவில் நாடகமா ஆடுகின்றாய்?,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0050.wav,Tamil,தங்கள் அருகில் இருப்பதே பேரின்பம் என்று நினைத்தேன்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0051.wav,Tamil,இரண்டொரு நாள் காலையில் பட்டினியால் கஷ்டப்பட்ட என் தமயனார் பசியாற்றாது மூன்றாவது!,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0052.wav,Tamil,"அந்தக் குண்டோசை கேட்டவுடன் மற்றொரு போலிஸ்காரன் ஜன்னல் வழியாகக் குதித்து, ஊளையிட்டுக்கொண்டே மாயமாய் மறைந்து போனான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0053.wav,Tamil,காந்த ஏற்புத்திறன் அதிகமுள்ளது எது?,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0054.wav,Tamil,இன்றைய நம்முடைய பொருளாதாரத்தில் உள்ள சிக்கல் பெரும்பாலும் முறையான பங்கீடு இன்மையே யாகும்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0055.wav,Tamil,கூடிவாழும் மனித சமுதாயத்தில் ஓர் உறுப்பினனாக விளங்கும் மனிதனுக்குச் சமுதாய ரீதியாகக் கடமைகளும் உண்டு உரிமைகளும் உண்டு.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0056.wav,Tamil,பாழான நெஞ்சும் சிலசமயம் பார்த்திரங்கும்!,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0057.wav,Tamil,நம் வாழ்க்கைப் போக்கிலேயே ஆத்மார்த்த உண்மைகளையும் நம் பெரியோர்கள் புலப்படுத்தினார்கள் என்பதற்கு இது ஒரு சான்று.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0058.wav,Tamil,"அன்றியும் இந்தக் கட்டத்தில், ஸ்ரீதத்த வேஷதாரி செய்யும் ஒரு குற்றத்தினையும் எடுத்தெழுதுகிறேன்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0059.wav,Tamil,ஒன்றை இழந்து விடுவோம் என்ற அச்சம் ஆர்வத்தைத்தூண்டி முயற்சியில் இறக்கி விடும்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0060.wav,Tamil,கடமையில் விருப்பார்வம் இல்லாமல் போனால் கடமையைச் சீராகச் செய்துமுடிக்க இயலாதே!,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0061.wav,Tamil,இயற்கையிலிருந்து மாறுபடும் வாழ் நிலை கூடாது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0062.wav,Tamil,இதை நான் மாயவரவாசிகள் எங்கள் சபைக்குச் செய்த நன் மதிப்பாகக் கொள்கிறேன்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0063.wav,Tamil,எளிதில் கிடைக்கக்கூடிய பொருள்களுக்கு நான் அவ்வளாக ஆசைப்படுவதில்லை.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0064.wav,Tamil,அது ஒரு உள்ளார்ந்த தீமை.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0065.wav,Tamil,நான் எனது சிற்றறிவைக் கொண்டு நிர்மித்த நாடகப் பாத்திரங்களுக்குள் இந்தத் தத்தன் பாத்திரம் ஒரு முக்கியமானது என்று நினைக்கிறேன்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0066.wav,Tamil,டப்ளினில் இருந்தபோது ஒருசமயம் தான்பிரீன் மேனுத் என்ற இடத்திற்குப்போக நேர்ந்தது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0067.wav,Tamil,இது ஒரு அறிவார்ந்த உண்மை.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0068.wav,Tamil,"நான் வணக்கம் செலுத்திவிட்டு, சார் இது... என்று இழுத்தேன்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0069.wav,Tamil,இரண்டு நாள்களில் அவன் அங்கே போய்ச் சேர்ந்தான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0070.wav,Tamil,இந்த ஆவல் அவன் மனத்தில் பெருகவே அவன் அச் செய்தியைக் கூறியவர்களை அழைத்து வருமாறு தன் ஏவலர்களை அனுப்பினான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0071.wav,Tamil,"முற்பகல் வேலையைப் பிற்பகல் செய்ய, பிற்பகல் வேலையை மறுநாள் செய்ய, இப்படியே போய்க்கொண்டிருந்தால், எந்த வேலையும் ஒழுங்குறாது.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0072.wav,Tamil,காற்றும் வெளிச்சமும் ஆரோக்கிய வாழ்வுக்கு அவசியம்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0073.wav,Tamil,"மானேஜர் வாலிபன் அட்வைஸ் முடித்துவிட்டு, தனது ஏர்கண்டிஷன் அறைக்குள் போனான்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0074.wav,Tamil,நெஞ்சு பொறுக்கு திலையே - இதை,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0075.wav,Tamil,ஆம் ஆங்கிலக் கல்வி ஆகாது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0076.wav,Tamil,ஜின்கா மட்டும் தனியாக அங்கே வருவதைக் கண்டு அவளுக்கு ஒருவகை அச்சமேற்பட்டது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0077.wav,Tamil,இருந்தாலும் தாத்தா எனக்கு இப்போது ஆனந்தமாய்த்தான் இருக்கிறது.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0078.wav,Tamil,"அவர் தழுவலையும் எழுதினார், அதில் அவரது ""லீக் ஆஃப் ஜென்டில்மேன்"" கூட்டாளர் மார்க் காடிஸ் இடம்பெற்றார்.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0079.wav,Tamil,"எங்கள் அம்மா, அப்பா அழுகிறது.",fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0080.wav,Tamil,அதன்பின் ஏவற்பெண் ஒருத்தி யாரோ வருகிறார்கள் என்பது அறிந்து கடைத்தலை சென்று பார்த்தாள்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0081.wav,Tamil,மனிதன் மனம் வைத்தால் எது நடக்காது?,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0082.wav,Tamil,இரகசியத் திட்டம் தீட்டும் காலம் பலப்பல குழுவினருக்குப் பலப்பல பொறுப்புகள் ஒதுக்கப்பட்ட மிக தெருக்கடியான காலம்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0083.wav,Tamil,உண்மையில் இருக்கிறது என்று சொல்லத் தக்கது அது ஒன்று தான்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0084.wav,Tamil,காமராசரும் நமக்கென்ன என்பது போல வாளாவிருந்தார்.,fake,facebook/mms-tts-tam,synthetic_tts,clean
data/fake/tamil\fake_tam_0085.wav,Tamil,இதற்கு ஊழ்வினை என ஒன்று காரணமாக இருக்க வேண்டியதில்லை.,fake,facebook/mms-tts-tam,synthetic_tts,clean
